N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
60,55,44,23.004459,82.320763,7.840207,263.964248,rice
74,35,40,26.491096,80.158363,6.980401,242.864034,rice
78,42,42,20.130175,81.604873,7.628473,262.717340,rice
69,55,38,22.708838,82.639414,5.700806,271.324860,rice
69,55,38,22.708838,82.639414,5.700806,271.324860,rice
94,53,40,20.277744,82.894086,5.718627,241.974195,rice
89,54,38,24.527837,82.736856,6.391174,223.696326,rice
68,58,38,23.302752,83.597696,7.073454,251.055000,rice
32,18,20,22.313876,64.717462,6.177263,79.027668,maize
26,20,16,22.258752,69.570183,6.002525,102.822554,maize
24,25,24,23.058143,62.247547,6.475449,60.555673,maize
12,23,21,24.475253,60.835466,6.228583,79.843440,maize
13,23,25,26.490964,65.237932,6.275536,87.712309,maize
38,25,21,23.775878,66.860161,6.502852,73.189632,maize
12,23,21,24.475253,60.835466,6.228583,79.843440,maize
13,23,25,26.490964,65.237932,6.275536,87.712309,maize
38,25,21,23.775878,66.860161,6.502852,73.189632,maize
36,25,25,23.614753,60.276363,6.799589,103.008663,maize
40,72,77,17.024985,16.988612,7.485996,88.551231,chickpea
59,62,83,19.037780,18.893718,6.026557,66.838867,chickpea
24,75,80,17.887765,15.405897,5.996932,68.549329,chickpea
52,73,85,17.252763,19.896243,7.624541,79.926981,chickpea
27,64,77,17.867260,16.079025,7.052965,88.358480,chickpea
35,71,79,19.769330,16.581902,7.717458,91.496752,chickpea
27,64,77,17.867260,16.079025,7.052965,88.358480,chickpea
35,71,79,19.769330,16.581902,7.717458,91.496752,chickpea
34,68,82,18.724683,19.500251,6.677427,70.234016,chickpea
39,65,81,18.437584,19.061892,7.151037,71.357714,chickpea
23,28,20,24.223863,22.027754,5.732778,109.674881,kidneybeans
25,25,20,21.502787,20.867620,5.841138,72.415040,kidneybeans
13,27,22,23.334455,23.597279,5.813667,135.476712,kidneybeans
28,29,22,18.611698,21.788531,5.569545,116.063657,kidneybeans
14,27,24,19.135450,18.167040,5.625243,143.879798,kidneybeans
36,22,16,17.896354,21.533463,5.740916,127.249693,kidneybeans
14,27,24,19.135450,18.167040,5.625243,143.879798,kidneybeans
36,22,16,17.896354,21.533463,5.740916,127.249693,kidneybeans
37,23,19,23.032591,22.307236,5.748136,130.475583,kidneybeans
33,26,21,24.236330,22.996840,5.879294,105.309722,kidneybeans
18,70,22,29.757535,47.548852,5.950661,92.199978,pigeonpeas
37,57,18,29.825837,48.146659,6.021855,100.164842,pigeonpeas
38,60,25,34.794307,38.826261,6.276263,165.591880,pigeonpeas
12,65,19,28.752961,63.098381,6.705829,177.435772,pigeonpeas
20,60,20,22.288613,63.609471,5.749914,147.756618,pigeonpeas
36,72,15,36.530508,36.546300,6.134793,178.686373,pigeonpeas
20,60,20,22.288613,63.609471,5.749914,147.756618,pigeonpeas
36,72,15,36.530508,36.546300,6.134793,178.686373,pigeonpeas
24,46,22,29.160086,69.177429,5.766372,132.892959,pigeonpeas
20,44,24,20.804401,62.505717,5.656253,155.080335,pigeonpeas
23,17,20,24.372500,64.080230,5.916779,63.537231,mothbeans
18,28,19,27.536158,53.160873,6.967418,36.461687,mothbeans
32,22,17,28.363599,53.006986,7.266319,41.532187,mothbeans
22,18,15,28.194920,53.560928,8.002745,51.033761,mothbeans
38,19,21,27.884013,47.423519,3.525366,45.175454,mothbeans
3,18,15,24.589076,44.700785,7.282772,51.142794,mothbeans
38,19,21,27.884013,47.423519,3.525366,45.175454,mothbeans
3,18,15,24.589076,44.700785,7.282772,51.142794,mothbeans
4,24,18,24.537252,53.545030,4.934272,37.714219,mothbeans
39,24,23,29.111714,46.924808,4.529062,55.907435,mothbeans
33,59,17,28.386757,85.322384,6.723957,48.496131,mungbean
13,51,16,28.528006,85.499969,6.382348,48.376439,mungbean
2,54,20,28.227408,82.198356,6.287319,53.657426,mungbean
38,59,23,27.347349,82.056872,6.983832,41.470301,mungbean
11,56,24,28.557729,85.184771,6.712509,49.355360,mungbean
39,60,19,28.435729,82.479403,6.995391,44.926180,mungbean
11,56,24,28.557729,85.184771,6.712509,49.355360,mungbean
39,60,19,28.435729,82.479403,6.995391,44.926180,mungbean
28,55,20,29.643237,88.315320,6.733341,53.635465,mungbean
10,56,25,28.340690,81.399325,6.729813,36.420797,mungbean
42,69,20,29.699150,64.533862,7.143943,71.339384,blackgram
57,67,22,25.356353,60.590527,7.476317,66.193706,blackgram
60,62,19,30.161000,65.504280,7.179585,69.403548,blackgram
50,69,20,31.361721,68.902548,7.282621,67.838649,blackgram
52,79,21,25.997349,60.651715,7.100288,61.283337,blackgram
57,75,19,29.943492,65.738130,7.353827,69.502905,blackgram
52,79,21,25.997349,60.651715,7.100288,61.283337,blackgram
57,75,19,29.943492,65.738130,7.353827,69.502905,blackgram
41,67,23,28.495844,62.446162,7.268119,69.896841,blackgram
54,77,21,27.940997,61.726449,7.106239,64.247956,blackgram
18,77,17,29.795268,64.843001,7.131409,43.727390,lentil
37,56,20,26.030973,66.413269,6.781548,54.539788,lentil
10,76,15,29.072653,66.150604,6.375539,45.851677,lentil
32,74,18,23.593015,60.096972,6.581635,45.835565,lentil
30,64,22,25.300256,67.735411,6.676509,47.723040,lentil
20,60,22,27.869235,62.724770,6.525011,53.954218,lentil
30,64,22,25.300256,67.735411,6.676509,47.723040,lentil
20,60,22,27.869235,62.724770,6.525011,53.954218,lentil
16,63,16,24.502537,61.884153,7.696187,51.696422,lentil
13,64,22,23.000386,65.494604,7.842760,51.273125,lentil
37,20,10,22.209693,93.045370,5.787293,103.350418,pomegranate
38,23,9,20.484470,88.133648,7.194423,108.820893,pomegranate
13,23,9,22.228243,90.098808,5.815209,107.693931,pomegranate
2,21,9,21.050777,90.585064,5.983918,107.917944,pomegranate
17,16,14,23.657475,91.960753,6.435402,102.818636,pomegranate
19,22,9,20.475802,87.532773,6.790133,105.685638,pomegranate
17,16,14,23.657475,91.960753,6.435402,102.818636,pomegranate
19,22,9,20.475802,87.532773,6.790133,105.685638,pomegranate
39,24,12,22.750888,90.694892,6.906768,110.431786,pomegranate
2,19,10,21.837896,90.669052,6.452113,108.960522,pomegranate
104,78,50,27.322206,83.813730,6.389029,90.654537,banana
